,model,target_dataset,model_name,dataset_name,task_type,metric,batch_size,dataset_path,runtime,score
0,Jeevesh8/init_bert_ft_qqp-33,glue/sst2,Jeevesh8/init_bert_ft_qqp-33,sst2,TaskType.SEQUENCE_CLASSIFICATION,TransferabilityMethod.LOG_ME,16,glue,55.44009494781494,-0.3468171972717288
1,Jeevesh8/init_bert_ft_qqp-33,glue/sst2,Jeevesh8/init_bert_ft_qqp-33,sst2,TaskType.SEQUENCE_CLASSIFICATION,TransferabilityMethod.REG_H_SCORE,16,glue,56.01990294456482,0.5455290123167509
2,Jeevesh8/init_bert_ft_qqp-33,tweet_eval/sentiment,Jeevesh8/init_bert_ft_qqp-33,sentiment,TaskType.SEQUENCE_CLASSIFICATION,TransferabilityMethod.LOG_ME,16,tweet_eval,44.185834646224976,-0.4720433991425003
3,Jeevesh8/init_bert_ft_qqp-33,tweet_eval/sentiment,Jeevesh8/init_bert_ft_qqp-33,sentiment,TaskType.SEQUENCE_CLASSIFICATION,TransferabilityMethod.REG_H_SCORE,16,tweet_eval,45.4042284488678,0.5549612852706698
4,Jeevesh8/init_bert_ft_qqp-33,tweet_eval/emotion,Jeevesh8/init_bert_ft_qqp-33,emotion,TaskType.SEQUENCE_CLASSIFICATION,TransferabilityMethod.LOG_ME,16,tweet_eval,3.448835849761963,-0.3467075468898732
5,Jeevesh8/init_bert_ft_qqp-33,tweet_eval/emotion,Jeevesh8/init_bert_ft_qqp-33,emotion,TaskType.SEQUENCE_CLASSIFICATION,TransferabilityMethod.REG_H_SCORE,16,tweet_eval,3.8144783973693848,1.5271696492513689
6,Jeevesh8/init_bert_ft_qqp-33,rotten_tomatoes,Jeevesh8/init_bert_ft_qqp-33,,TaskType.SEQUENCE_CLASSIFICATION,TransferabilityMethod.LOG_ME,16,rotten_tomatoes,8.787356615066528,-0.4666087810886474
7,Jeevesh8/init_bert_ft_qqp-33,rotten_tomatoes,Jeevesh8/init_bert_ft_qqp-33,,TaskType.SEQUENCE_CLASSIFICATION,TransferabilityMethod.REG_H_SCORE,16,rotten_tomatoes,9.200709581375122,0.5069634926915663
8,Jeevesh8/init_bert_ft_qqp-33,glue/cola,Jeevesh8/init_bert_ft_qqp-33,cola,TaskType.SEQUENCE_CLASSIFICATION,TransferabilityMethod.LOG_ME,16,glue,5.611786603927612,-0.5580583858914147
9,Jeevesh8/init_bert_ft_qqp-33,glue/cola,Jeevesh8/init_bert_ft_qqp-33,cola,TaskType.SEQUENCE_CLASSIFICATION,TransferabilityMethod.REG_H_SCORE,16,glue,5.980984210968018,0.283311171913482
10,Jeevesh8/init_bert_ft_qqp-33,tweet_eval/irony,Jeevesh8/init_bert_ft_qqp-33,irony,TaskType.SEQUENCE_CLASSIFICATION,TransferabilityMethod.LOG_ME,16,tweet_eval,3.028189420700073,-0.6580545789764403
11,Jeevesh8/init_bert_ft_qqp-33,tweet_eval/irony,Jeevesh8/init_bert_ft_qqp-33,irony,TaskType.SEQUENCE_CLASSIFICATION,TransferabilityMethod.REG_H_SCORE,16,tweet_eval,3.3761560916900635,0.4287097739735565
12,Jeevesh8/init_bert_ft_qqp-33,tweet_eval/hate,Jeevesh8/init_bert_ft_qqp-33,hate,TaskType.SEQUENCE_CLASSIFICATION,TransferabilityMethod.LOG_ME,16,tweet_eval,11.557301759719849,-0.5352282871238176
13,Jeevesh8/init_bert_ft_qqp-33,tweet_eval/hate,Jeevesh8/init_bert_ft_qqp-33,hate,TaskType.SEQUENCE_CLASSIFICATION,TransferabilityMethod.REG_H_SCORE,16,tweet_eval,12.084911584854126,0.4099273039252839
