,glue/sst2,glue/cola,tweet_eval/sentiment,common_language,tweet_eval/emotion,trec,tweet_eval/irony,tweet_eval/hate,rotten_tomatoes,tweet_eval/offensive,dbpedia_14,ag_news,glue_cola
glue/sst2,0.0,25.975000381469727,23.006061553955078,46.47121047973633,18.79753875732422,22.558536529541016,22.080862045288086,22.687057495117188,15.08199405670166,26.603113174438477,41.145965576171875,36.172061920166016,25.975000381469727
glue/cola,25.975000381469727,0.0,16.710880279541016,43.59114074707031,23.419218063354492,16.4700984954834,23.027772903442383,21.40719985961914,25.866172790527344,24.995487213134766,28.503812789916992,22.46644401550293,0.0
tweet_eval/sentiment,23.006061553955078,16.710880279541016,0.0,42.093265533447266,14.037583351135254,20.025501251220703,13.75639533996582,14.801268577575684,23.131954193115234,19.910133361816406,32.275428771972656,23.321300506591797,16.710880279541016
common_language,46.47121047973633,43.59114074707031,42.093265533447266,0.0,42.32346725463867,49.14009094238281,38.86655807495117,40.7586669921875,50.319007873535156,39.98091125488281,40.04966735839844,44.651573181152344,43.59114074707031
tweet_eval/emotion,18.79753875732422,23.419218063354492,14.037583351135254,42.32346725463867,0.0,24.2384033203125,7.2577314376831055,11.524273872375488,20.888427734375,14.616938591003418,40.377105712890625,33.1556282043457,23.419218063354492
trec,22.558536529541016,16.4700984954834,20.025501251220703,49.14009094238281,24.2384033203125,0.0,25.551509857177734,23.47909927368164,20.188556671142578,27.65589141845703,33.36601257324219,28.820009231567383,16.4700984954834
tweet_eval/irony,22.080862045288086,23.027772903442383,13.75639533996582,38.86655807495117,7.2577314376831055,25.551509857177734,0.0,12.131972312927246,25.21077537536621,11.663578987121582,39.140663146972656,31.747455596923828,23.027772903442383
tweet_eval/hate,22.687057495117188,21.40719985961914,14.801268577575684,40.7586669921875,11.524273872375488,23.47909927368164,12.131972312927246,0.0,25.5086669921875,14.48364543914795,36.379783630371094,28.24888801574707,21.40719985961914
rotten_tomatoes,15.08199405670166,25.866172790527344,23.131954193115234,50.319007873535156,20.888427734375,20.188556671142578,25.21077537536621,25.5086669921875,0.0,29.834190368652344,41.05850601196289,37.849056243896484,25.866172790527344
tweet_eval/offensive,26.603113174438477,24.995487213134766,19.910133361816406,39.98091125488281,14.616938591003418,27.65589141845703,11.663578987121582,14.48364543914795,29.834190368652344,0.0,42.34640121459961,33.92951202392578,24.995487213134766
dbpedia_14,41.145965576171875,28.503812789916992,32.275428771972656,40.04966735839844,40.377105712890625,33.36601257324219,39.140663146972656,36.379783630371094,41.05850601196289,42.34640121459961,0.0,24.820068359375,28.503812789916992
ag_news,36.172061920166016,22.46644401550293,23.321300506591797,44.651573181152344,33.1556282043457,28.820009231567383,31.747455596923828,28.24888801574707,37.849056243896484,33.92951202392578,24.820068359375,0.0,22.46644401550293
glue_cola,25.975000381469727,0.0,16.710880279541016,43.59114074707031,23.419218063354492,16.4700984954834,23.027772903442383,21.40719985961914,25.866172790527344,24.995487213134766,28.503812789916992,22.46644401550293,0.0
