,model,target_dataset,model_name,dataset_name,task_type,metric,batch_size,dataset_path,runtime,score
0,cambridgeltl/guardian_news_distilbert-base-uncased,ag_news,cambridgeltl/guardian_news_distilbert-base-uncased,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,244.209835767746,0.2037164330270599
1,roberta-large,ag_news,roberta-large,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,666.6617724895477,0.1848340728225336
2,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,ag_news,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,142.1262009143829,0.1835433961403478
3,roberta-base,ag_news,roberta-base,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,210.92339634895325,0.1802614593825009
4,bert-large-uncased,ag_news,bert-large-uncased,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,700.3182747364044,0.176256492499664
5,distilbert-base-uncased,ag_news,distilbert-base-uncased,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,114.02928042411804,0.1753016023223845
6,SetFit/distilbert-base-uncased__sst2__train-16-0,ag_news,SetFit/distilbert-base-uncased__sst2__train-16-0,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,144.55989408493042,0.1703394655845398
7,DoyyingFace/bert-asian-hate-tweets-asian-unclean-freeze-4,ag_news,DoyyingFace/bert-asian-hate-tweets-asian-unclean-freeze-4,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,215.4204545021057,0.1655520465030741
8,vinai/bertweet-base,ag_news,vinai/bertweet-base,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,200.7453436851501,0.1646182868378928
9,liangyuant/distilbert-base-uncased-finetuned-num200-450-405cls,ag_news,liangyuant/distilbert-base-uncased-finetuned-num200-450-405cls,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,141.73086833953855,0.1641716093638686
10,bert-base-uncased,ag_news,bert-base-uncased,,sequence_classification,TransferabilityMetric.LOG_ME,16.0,ag_news,251.04695081710813,0.1590302443331788
