gnn_method,model_ratio,SmallN/El,caltech101,cifar100,dtd,flowers,pets,stanfordcars,svhn
LogME,0.1,1316.1297076940536,177.77800734043123,2354.7562301874163,1011.0879909276963,686.3311677217484,289.2795221328735,1044.4076061010362,2709.629063487053
LogME,0.3,3948.389123082161,533.3340220212937,7064.268690562248,3033.263972783089,2058.993503165245,867.8385663986206,3133.222818303108,8128.887190461159
LogME,0.5,6580.648538470268,888.8900367021561,11773.78115093708,5055.439954638481,3431.6558386087418,1446.3976106643677,5222.03803050518,13548.145317435265
LogME,0.7,9212.907953858376,1244.4460513830184,16483.29361131191,7077.615936493873,4804.318174052238,2024.9566549301146,7310.853242707252,18967.40344440937
LogME,0.9,11845.167369246483,1600.0020660638809,21192.806071686744,9099.791918349267,6176.9805094957355,2603.515699195862,9399.668454909324,24386.661571383476
LogME,1.0,13161.297076940536,1777.7800734043121,23547.56230187416,10110.879909276962,6863.3116772174835,2892.7952213287354,10444.07606101036,27096.29063487053
Reg-H-Score,0.1,1327.1503519535065,180.64286451339723,2359.441419148445,1017.056556248665,689.3955070495606,292.8739112377167,1044.337082028389,2728.398304200173
Reg-H-Score,0.3,3981.4510558605193,541.9285935401916,7078.324257445335,3051.1696687459944,2068.1865211486815,878.62173371315,3133.011246085167,8185.194912600517
Reg-H-Score,0.5,6635.751759767532,903.2143225669861,11797.207095742226,5085.282781243324,3446.9775352478027,1464.3695561885834,5221.685410141945,13641.991521000862
Reg-H-Score,0.7,9290.052463674545,1264.5000515937804,16516.089934039115,7119.395893740653,4825.7685493469235,2050.1173786640165,7310.359574198722,19098.788129401204
Reg-H-Score,0.9,11944.35316758156,1625.785780620575,21234.97277233601,9153.509006237984,6204.559563446045,2635.86520113945,9399.0337382555,24555.584737801553
Reg-H-Score,1.0,13271.503519535065,1806.4286451339722,23594.41419148445,10170.565562486649,6893.9550704956055,2928.7391123771667,10443.37082028389,27283.983042001724
TG:XGB:GAT,0.1,75.17252659797668,12.803266525268553,150.96379375457764,228.55265069007874,45.02219223976135,21.14131212234497,66.52002429962158,206.43750429153442
TG:XGB:GAT,0.3,80.15569877624512,17.730125188827515,155.55572366714478,233.80550360679626,49.72750520706177,25.204938888549805,72.86475849151611,211.44826436042786
TG:XGB:GAT,0.5,88.17840194702148,24.97092056274414,162.91911697387695,240.0894706249237,57.63542604446411,33.86201310157776,79.64871644973755,218.94657039642334
TG:XGB:GAT,0.7,97.01097965240479,31.858526468276978,171.50907468795776,251.61882996559143,64.92893123626709,40.4970760345459,85.06597542762756,226.87585020065308
TG:XGB:GAT,0.9,105.26332497596741,43.02129054069519,180.74764466285706,258.2961518764496,76.12418103218079,51.867358922958374,97.57119631767273,241.17240810394287
TG:XGB:GAT,1.0,113.73829388618469,48.56876754760742,186.6830656528473,264.84045672416687,80.60516500473022,57.161996841430664,104.19522738456726,254.97624397277832
