,dataset,model,accuracy,target_dataset,model_name,dataset_name,task_type,metric,batch_size,dataset_path,runtime,score
0,glue/sst2,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,0.8299,glue/sst2,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,sst2,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,38.36046028137207,1.7531101080251767
3,glue/sst2,gchhablani/fnet-base-finetuned-sst2,0.894,glue/sst2,gchhablani/fnet-base-finetuned-sst2,sst2,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,58.30831456184387,1.8888449811637789
4,glue/sst2,moshew/bert-mini-sst2-distilled,0.7763629545454546,glue/sst2,moshew/bert-mini-sst2-distilled,sst2,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,17.065425395965576,2.2138189225052343
5,glue/sst2,aviator-neural/bert-base-uncased-sst2,0.7763629545454546,glue/sst2,aviator-neural/bert-base-uncased-sst2,sst2,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,60.59153008460999,7.380148164396622
7,glue/sst2,Alassea/glue_sst_classifier,0.903,glue/sst2,Alassea/glue_sst_classifier,sst2,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,52.69478106498718,1.9384883550837215
0,glue/cola,riyadhctg/distilbert-base-uncased-finetuned-cola,0.5527,glue/cola,riyadhctg/distilbert-base-uncased-finetuned-cola,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.729792356491089,2.522563536505189
1,glue/cola,connectivity/cola_6ep_ft-33,0.7763629545454546,glue/cola,connectivity/cola_6ep_ft-33,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,10.356728315353394,3.0869166247105424
2,glue/cola,connectivity/cola_6ep_ft-22,0.7763629545454546,glue/cola,connectivity/cola_6ep_ft-22,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.869605779647827,3.3040827699187494
4,glue/cola,vesteinn/XLMR-ENIS-finetuned-cola,0.631,glue/cola,vesteinn/XLMR-ENIS-finetuned-cola,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.701174974441528,2.779656283747852
6,glue/cola,jaesun/distilbert-base-uncased-finetuned-cola,0.517,glue/cola,jaesun/distilbert-base-uncased-finetuned-cola,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,4.509796619415283,2.8508766255816966
7,glue/cola,usami/distilbert-base-uncased-finetuned-cola,0.5492,glue/cola,usami/distilbert-base-uncased-finetuned-cola,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.053242444992065,2.3751791820412933
8,glue/cola,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,0.7763629545454546,glue/cola,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.751770257949829,4.013049262542817
9,glue/cola,Jeevesh8/6ep_bert_ft_cola-47,0.7763629545454546,glue/cola,Jeevesh8/6ep_bert_ft_cola-47,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,8.033312559127808,4.050311778852439
10,glue/cola,connectivity/cola_6ep_ft-10,0.7763629545454546,glue/cola,connectivity/cola_6ep_ft-10,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.659385681152344,3.2371650487608385
11,glue/cola,Jeevesh8/6ep_bert_ft_cola-12,0.7763629545454546,glue/cola,Jeevesh8/6ep_bert_ft_cola-12,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,10.463740348815918,3.9512804843828175
12,glue/cola,Jeevesh8/6ep_bert_ft_cola-29,0.7763629545454546,glue/cola,Jeevesh8/6ep_bert_ft_cola-29,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,5.885305881500244,3.886017069413686
13,glue/cola,Jeevesh8/bert_ft_cola-60,0.7763629545454546,glue/cola,Jeevesh8/bert_ft_cola-60,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,8.455518007278442,2.2848659136592673
14,glue/cola,navsad/navid_test_bert,0.583,glue/cola,navsad/navid_test_bert,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.273785829544067,2.660405584921312
15,glue/cola,Jeevesh8/bert_ft_cola-88,0.7763629545454546,glue/cola,Jeevesh8/bert_ft_cola-88,cola,sequence_classification,TransferabilityMetric.LOG_ME,16.0,glue,7.956295490264893,2.4294404466971056
