,model,architectures,number_of_labels,labels,model_type,number_of_parameters,memory_consumption,dataset,accuracy
0,Jeevesh8/init_bert_ft_qqp-33,BertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",bert,109483778,439076352,glue/qqp,
1,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,DistilBertForSequenceClassification,2,"['NEGATIVE', 'POSITIVE']",distilbert,66955010,268957184,glue/sst2,0.8299
2,vaariis/distilbert-base-uncased-finetuned-emotion,DistilBertForSequenceClassification,6,"['LABEL_0', 'LABEL_1', 'LABEL_2', 'LABEL_3', 'LABEL_4', 'LABEL_5']",distilbert,66958086,268969472,dair-ai/emotion,0.9205
3,philschmid/tiny-distilbert-classification,DistilBertForSequenceClassification,2,"['NEGATIVE', 'POSITIVE']",distilbert,62172,271872,glue/sst2
4,heranm/finetuning-sentiment-model-3000-samples,DistilBertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",distilbert,66955010,268957184,imdb,0.873
5,marcelcastrobr/sagemaker-distilbert-emotion,DistilBertForSequenceClassification,6,"['sadness', 'joy', 'love', 'anger', 'fear', 'surprise']",distilbert,66958086,268969472,dair-ai/emotion,0.928
6,jasonyim2/distilbert-base-uncased-finetuned-emotion,DistilBertForSequenceClassification,6,"['LABEL_0', 'LABEL_1', 'LABEL_2', 'LABEL_3', 'LABEL_4', 'LABEL_5']",distilbert,66958086,268969472,dair-ai/emotion,0.921
7,riyadhctg/distilbert-base-uncased-finetuned-cola,DistilBertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",distilbert,66955010,268957184,glue/cola,0.5527
8,dapang/distilroberta-base-mic-sym,RobertaForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",roberta,82119938,329782784,,
9,PrasunMishra/finetuning-sentiment-model-3000-samples,DistilBertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",distilbert,66955010,268957184,imdb,
10,nurkayevaa/autonlp-bert-covid-407910458,DistilBertForSequenceClassification,2,"['0', '1']",distilbert,66955010,268957184,nurkayevaa/autonlp-data-bert-covid,0.9112
11,SetFit/distilbert-base-uncased__sst2__train-16-0,DistilBertForSequenceClassification,2,"['negative', 'positive']",distilbert,66955010,268957184,glue/sst2,0.5091
12,abdelkader/distilbert-base-uncased-finetuned-emotion,DistilBertForSequenceClassification,6,"['LABEL_0', 'LABEL_1', 'LABEL_2', 'LABEL_3', 'LABEL_4', 'LABEL_5']",distilbert,66958086,268969472,dair-ai/emotion,0.921
13,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,DistilBertForSequenceClassification,3,"['hate speech', 'offensive language', 'neither']",distilbert,66955779,268960256,badmatr11x/hate-offensive-speech,0.5355
14,gchhablani/fnet-base-finetuned-sst2,FNetForSequenceClassification,2,"['negative', 'positive']",fnet,82862594,331721216,glue/sst2,0.894
15,Capreolus/bert-base-msmarco,BertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",bert,109483778,439076352,,
16,Splend1dchan/bert-base-uncased-slue-goldtrascription-e3-lr1e-4,BertForSequenceClassification,3,"['Negative', 'Neutral', 'Positive']",bert,109484547,439079424,,
17,crcb/isear_bert,RobertaForSequenceClassification,7,"['anger', 'disgust', 'fear', 'guilt', 'joy', 'sadness', 'shame']",roberta,124651015,499907072,crcb/autotrain-data-isear_bert,0.7273
18,connectivity/cola_6ep_ft-33,BertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",bert,109483778,439076352,glue/cola,
19,Jeevesh8/init_bert_ft_qqp-49,BertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",bert,109483778,439076352,glue/qqp,
20,Jeevesh8/feather_berts_46,BertForSequenceClassification,3,"['LABEL_0', 'LABEL_1', 'LABEL_2']",bert,109484547,439079424,,
21,connectivity/cola_6ep_ft-22,BertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",bert,109483778,439076352,glue/cola,
22,yukta10/finetuning-sentiment-model-3000-samples,DistilBertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",distilbert,66955010,268957184,imdb,
23,JonatanGk/roberta-base-bne-finetuned-cyberbullying-spanish,RobertaForSequenceClassification,2,"['Not_bullying', 'Bullying']",roberta,124644866,499891712,,0.9607
24,cambridgeltl/guardian_news_distilbert-base-uncased,DistilBertForSequenceClassification,5,"['LABEL_0', 'LABEL_1', 'LABEL_2', 'LABEL_3', 'LABEL_4']",distilbert,66957317,268966400,,
25,gchhablani/fnet-base-finetuned-cola,FNetForSequenceClassification,2,"['unacceptable', 'acceptable']",fnet,82862594,331721216,glue/cola,0.359
26,ncduy/roberta-imdb-sentiment-analysis,RobertaForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",roberta,124647170,499891712,,
27,vesteinn/XLMR-ENIS-finetuned-cola,XLMRobertaForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",xlm-roberta,124447490,498317824,glue/cola,0.631
28,isakbos/Q8BERT_COLA_L_512,QuantizedBertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",bert,109483778,439076352,glue/cola,
29,connectivity/bert_ft_qqp-7,BertForSequenceClassification,2,"['LABEL_0', 'LABEL_1']",bert,109483778,439076352,glue/qqp,
30,moghis/distilbert-base-uncased-finetuned-emotion,DistilBertForSequenceClassification,6,"['LABEL_0', 'LABEL_1', 'LABEL_2', 'LABEL_3', 'LABEL_4', 'LABEL_5']",distilbert,66958086,268969472,dair-ai/emotion,0.924
