,mappedID,model,score
0,0,Jeevesh8/init_bert_ft_qqp-33,-13.745617
1,1,ali2066/finetuned_sentence_itr1_2e-05_all_26_02_2022-04_03_26,-0.99615335
2,2,vaariis/distilbert-base-uncased-finetuned-emotion,6.428956
3,3,philschmid/tiny-distilbert-classification,-0.03871143
4,4,heranm/finetuning-sentiment-model-3000-samples,1.0025806
5,5,marcelcastrobr/sagemaker-distilbert-emotion,8.190989
6,6,jasonyim2/distilbert-base-uncased-finetuned-emotion,-0.72500753
7,7,riyadhctg/distilbert-base-uncased-finetuned-cola,11.363699
8,8,PrasunMishra/finetuning-sentiment-model-3000-samples,1.2185086
9,9,nurkayevaa/autonlp-bert-covid-407910458,-2.2530384
10,10,SetFit/distilbert-base-uncased__sst2__train-16-0,0.7477701
11,11,abdelkader/distilbert-base-uncased-finetuned-emotion,8.667004
12,12,SetFit/distilbert-base-uncased__hate_speech_offensive__train-16-1,3.489596
13,13,crcb/isear_bert,-9.729649
14,14,connectivity/cola_6ep_ft-33,0.3224281
15,15,Jeevesh8/init_bert_ft_qqp-49,19.672716
16,16,connectivity/cola_6ep_ft-22,-1.2267824
17,17,yukta10/finetuning-sentiment-model-3000-samples,-0.64931345
18,18,ncduy/roberta-imdb-sentiment-analysis,-2.5098014
19,19,vesteinn/XLMR-ENIS-finetuned-cola,6.049637
20,20,isakbos/Q8BERT_COLA_L_512,1.5919933
21,21,connectivity/bert_ft_qqp-7,2.0796852
22,22,moghis/distilbert-base-uncased-finetuned-emotion,1.0905459
23,23,moshew/bert-mini-sst2-distilled,-3.1894999
24,24,uygarkurt/distilbert-base-uncased-finetuned-emotion,17.892212
25,25,robertou2/roberta-base-bne-finetuned-amazon_reviews_multi,-1.9896612
26,26,neibla/distilbert-base-uncased-finetuned-emotion,-9.638923
27,27,Anthos23/FS-distilroberta-fine-tuned,-0.92906094
28,28,pietrotrope/emotion_final,-2.0907934
29,29,aviator-neural/bert-base-uncased-sst2,-7.503692
30,30,Jeevesh8/bert_ft_qqp-40,4.9954243
31,31,jaesun/distilbert-base-uncased-finetuned-cola,8.553109
32,32,SetFit/distilbert-base-uncased__sst2__train-32-9,1.2515109
33,33,usami/distilbert-base-uncased-finetuned-cola,105.23752
34,34,Jeevesh8/512seq_len_6ep_bert_ft_cola-91,-12.522459
35,35,Jeevesh8/bert_ft_qqp-9,-11.323042
36,36,Jeevesh8/bert_ft_qqp-88,-7.303964
37,37,Recognai/bert-base-spanish-wwm-cased-xnli,-0.17632782
38,38,markt23917/finetuning-sentiment-model-3000-samples,4.9264994
39,39,anirudh21/bert-base-uncased-finetuned-qnli,-1.6390009
40,40,Jeevesh8/6ep_bert_ft_cola-47,-10.878172
41,41,oferweintraub/bert-base-finance-sentiment-noisy-search,-1.1163435
42,42,aXhyra/demo_sentiment_31415,10.034235
43,43,aXhyra/presentation_sentiment_1234567,-12.094887
44,44,connectivity/cola_6ep_ft-10,-1.4005713
45,45,jb2k/bert-base-multilingual-cased-language-detection,6.2725177
46,46,connectivity/bert_ft_qqp-25,-0.5613103
47,47,Jeevesh8/6ep_bert_ft_cola-12,-5.4843855
48,48,aXhyra/emotion_trained_31415,-0.19062316
49,49,aXhyra/presentation_emotion_31415,16.756086
50,50,JB173/distilbert-base-uncased-finetuned-emotion,0.009488106
51,51,Jeevesh8/init_bert_ft_qqp-24,1.3231438
52,52,Jeevesh8/bert_ft_qqp-55,-1.0268497
53,53,Jeevesh8/bert_ft_qqp-68,0.20883322
54,54,Jeevesh8/6ep_bert_ft_cola-29,-2.0066047
55,55,connectivity/bert_ft_qqp-17,-7.685054
56,56,Jeevesh8/init_bert_ft_qqp-28,1.0228252
57,57,vinai/bertweet-base,-3.038438
58,58,bert-base-uncased,1.0274647
59,59,justinqbui/bertweet-covid19-base-uncased-pretraining-covid-vaccine-tweets,-2.6108732
60,60,vinai/bertweet-covid19-base-cased,-15.815249
61,61,distilbert-base-uncased,-1.088556
62,62,roberta-base,-5.0526743
63,63,bert-base-cased,-1.5885093
64,64,cross-encoder/quora-distilroberta-base,-7.468596
65,65,michiyasunaga/LinkBERT-base,0.45980167
66,66,bert-large-uncased,-5.2680893
67,67,roberta-large,-1.2031081
68,68,vinai/bertweet-covid19-base-uncased,-1.8400221
