,stanfordcars,svhn,caltech101,pets,cifar100,flowers,smallnorb_label_elevation,dtd,average
xgb_node2vec_all_normalize_without_transfer,0.82447,0.94981,0.97219,0.95362,0.93273,1.0,0.99396,0.78369,0.8874301650202175
lr_homo_SAGEConv_all_normalize_without_transfer,0.82447,0.95145,0.97823,0.96493,0.93273,1.0,0.99479,0.77128,0.8870884609393022
xgb_homoGATConv_all_normalize_without_transfer,0.82447,0.95145,0.97461,0.96493,0.9234,1.0,0.993,0.77128,0.8861550515738789
xgb_homo_SAGEConv_all_normalize_without_transfer,0.82447,0.94981,0.97461,0.96493,0.9234,1.0,0.993,0.77128,0.8860692028670507
xgb_node2vec+_all_normalize_without_transfer,0.80278,0.95145,0.97219,0.96493,0.93273,1.0,0.9941,0.78369,0.8805876969458347
Reg-H-Score,0.80278,0.94667,0.97823,0.95362,0.9234,0.99346,0.993,0.7305,0.8697489932526985
LogME,0.80278,0.94667,0.97219,0.95362,0.9234,0.9902,0.99204,0.7305,0.8687097212267589
lr_node2vec+_all_normalize_without_transfer,0.77291,0.95145,0.97823,0.95362,0.9266,1.0,0.9941,0.77128,0.86681196275773
rf_node2vec+_all_normalize_without_transfer,0.759,0.9479,0.97461,0.96493,0.93273,1.0,0.99396,0.77128,0.8625720403265117
rf_homo_SAGEConv_all_normalize_without_transfer,0.77291,0.94394,0.96493,0.96493,0.9234,0.99346,0.99479,0.74823,0.8614406392985331
rf_homoGATConv_all_normalize_without_transfer,0.71768,0.95104,0.97823,0.96493,0.92213,1.0,0.9941,0.78369,0.8493171142171579
lr_homoGATConv_all_normalize_without_transfer,0.72218,0.95145,0.97461,0.96493,0.93273,1.0,0.9941,0.77128,0.8492788023103899
rf_node2vec_all_normalize_without_transfer,0.72177,0.95145,0.96735,0.96493,0.93273,1.0,0.9941,0.77128,0.8484891640191994
lr_node2vec_all_normalize_without_transfer,0.70499,0.95145,0.97461,0.96493,0.9266,0.99346,0.9941,0.77128,0.8416896450797102
