,stanfordcars,svhn,caltech101,pets,cifar100,flowers,smallnorb_label_elevation,dtd,average
xgb_homoGATConv_all_normalize_without_transfer,0.82447,0.94981,0.9601,0.95362,0.9234,0.98039,0.99273,0.76241,0.879525205834014
xgb_homo_SAGEConv_all_normalize_without_transfer,0.80278,0.9479,0.97461,0.96493,0.92213,1.0,0.99204,0.77128,0.8779123692347159
xgb_node2vec+_all_normalize_without_transfer,0.80278,0.9479,0.94559,0.96493,0.92213,1.0,0.99273,0.69149,0.8625039960103472
lr_homo_SAGEConv_all_normalize_without_transfer,0.80278,0.94981,0.97461,0.95362,0.93273,0.99673,0.66324,0.7305,0.8570140394978834
lr_homoGATConv_all_normalize_without_transfer,0.72218,0.9479,0.97219,0.95136,0.9266,1.0,0.9941,0.77128,0.8473131794537185
rf_node2vec+_all_normalize_without_transfer,0.72218,0.93958,0.95405,0.96493,0.92247,0.99346,0.98724,0.77128,0.8450308164173332
lr_node2vec+_all_normalize_without_transfer,0.72218,0.95104,0.97461,0.95249,0.9266,0.99673,0.9941,0.69149,0.8344418093531524
xgb_node2vec_all_normalize_without_transfer,0.70499,0.94927,0.96131,0.95362,0.92213,1.0,0.99204,0.73404,0.8339769750914797
rf_node2vec_all_normalize_without_transfer,0.71768,0.93958,0.95163,0.92421,0.89653,0.99346,0.99273,0.72872,0.8313869154922251
rf_homoGATConv_all_normalize_without_transfer,0.66203,0.9479,0.97461,0.94796,0.92213,1.0,0.99383,0.78369,0.8269268497116471
rf_homo_SAGEConv_all_normalize_without_transfer,0.71768,0.94394,0.948,0.95362,0.87107,0.87582,0.99383,0.72518,0.8150419500444699
lr_node2vec_all_normalize_without_transfer,0.56628,0.94927,0.96131,0.96493,0.9042,0.98039,0.99396,0.7305,0.7798409752756748
Reg-H-Score,0.509,0.94667,0.97219,0.95362,0.91153,0.9902,0.90055,0.7305,0.756658107377249
LogME,0.509,0.94667,0.97219,0.71493,0.91153,0.9902,0.90055,0.69149,0.7290539378037143
random,0.508053388888889,0.9062241011235954,0.9021293333333332,0.8878077777777778,0.882653371472841,0.8760531666666667,0.9591834090909092,0.6442181666666666,0.7125866397004316
