,stanfordcars,svhn,caltech101,pets,cifar100,flowers,smallnorb_label_elevation,dtd,average
xgb_node2vec_all_normalize_without_transfer,0.82447,0.95145,0.97219,0.96493,0.93273,1.0,0.99396,0.78369,0.8885256032664854
xgb_homoGATConv_all_normalize_without_transfer,0.82447,0.95145,0.97461,0.96493,0.9234,1.0,0.99396,0.78369,0.8881979851543808
lr_homo_SAGEConv_all_normalize_without_transfer,0.82447,0.95145,0.97823,0.96493,0.93273,1.0,0.99479,0.77128,0.8870884609393022
xgb_homo_SAGEConv_all_normalize_without_transfer,0.82447,0.95145,0.97461,0.96493,0.9234,1.0,0.993,0.77128,0.8861550515738789
xgb_node2vec+_all_normalize_without_transfer,0.80278,0.95145,0.97219,0.96493,0.93273,1.0,0.9941,0.78369,0.8805876969458347
LogME,0.80278,0.94667,0.97823,0.95362,0.9248,0.99346,0.993,0.7305,0.8698301390103642
Reg-H-Score,0.80278,0.94667,0.97823,0.95362,0.9248,0.99346,0.993,0.7305,0.8698301390103642
rf_node2vec_all_normalize_without_transfer,0.77291,0.95145,0.97461,0.96493,0.93273,1.0,0.99479,0.77128,0.8678864319149978
rf_node2vec+_all_normalize_without_transfer,0.77291,0.9479,0.97461,0.96493,0.93273,1.0,0.9941,0.77128,0.8676721639768976
lr_node2vec+_all_normalize_without_transfer,0.77291,0.95145,0.97823,0.95362,0.9266,1.0,0.9941,0.77128,0.86681196275773
rf_homo_SAGEConv_all_normalize_without_transfer,0.77291,0.94394,0.96493,0.96493,0.9234,0.99346,0.99479,0.75,0.8617263736652064
rf_homoGATConv_all_normalize_without_transfer,0.71768,0.95104,0.97823,0.96493,0.92247,1.0,0.9941,0.78369,0.8493368210440198
lr_homoGATConv_all_normalize_without_transfer,0.72218,0.95145,0.97461,0.96493,0.93273,1.0,0.99479,0.77128,0.8493072392062706
lr_node2vec_all_normalize_without_transfer,0.70499,0.95145,0.97461,0.96493,0.9266,0.99346,0.9941,0.77128,0.8416896450797102
random,0.508053388888889,0.9062241011235954,0.9021293333333332,0.8878077777777778,0.882653371472841,0.8760531666666667,0.9591834090909092,0.6442181666666666,0.7125866397004316
