,stanfordcars,svhn,caltech101,pets,cifar100,flowers,smallnorb_label_elevation,dtd,average
xgb_node2vec_all_normalize_without_transfer,0.82447,0.94981,0.96493,0.95362,0.93273,1.0,0.99396,0.78369,0.886790683815772
xgb_homo_SAGEConv_all_normalize_without_transfer,0.82447,0.9479,0.97461,0.96493,0.92213,1.0,0.993,0.77128,0.8858956097372054
xgb_homoGATConv_all_normalize_without_transfer,0.82447,0.95145,0.96493,0.95362,0.9234,1.0,0.99273,0.76241,0.8828497924772369
lr_homo_SAGEConv_all_normalize_without_transfer,0.80278,0.95145,0.97461,0.95362,0.93273,1.0,0.99383,0.77128,0.8777767711232555
xgb_node2vec+_all_normalize_without_transfer,0.80278,0.95145,0.97219,0.96493,0.93273,1.0,0.9941,0.76241,0.8771524272719323
Reg-H-Score,0.80278,0.94667,0.97823,0.95362,0.9234,0.9902,0.993,0.7305,0.8692813057792355
lr_node2vec+_all_normalize_without_transfer,0.77291,0.95145,0.97823,0.95249,0.9266,1.0,0.9941,0.76241,0.8652791925987193
rf_node2vec+_all_normalize_without_transfer,0.759,0.9479,0.97461,0.96493,0.9266,1.0,0.99396,0.77128,0.8622167378304468
rf_homoGATConv_all_normalize_without_transfer,0.71768,0.9479,0.97823,0.96493,0.92213,1.0,0.99383,0.78369,0.8491416178706487
lr_homoGATConv_all_normalize_without_transfer,0.72218,0.94981,0.97219,0.96493,0.93273,1.0,0.9941,0.77128,0.8489797932020798
rf_node2vec_all_normalize_without_transfer,0.7189,0.94808,0.96735,0.96493,0.93273,1.0,0.99396,0.76241,0.8458239855135672
rf_homo_SAGEConv_all_normalize_without_transfer,0.77291,0.94394,0.948,0.96493,0.92213,0.88889,0.99479,0.73582,0.8428705525635782
lr_node2vec_all_normalize_without_transfer,0.70499,0.95145,0.97461,0.96493,0.9266,0.98039,0.9941,0.75,0.8363793216395006
LogME,0.509,0.94667,0.97219,0.95362,0.9234,0.9902,0.99204,0.70745,0.7573956709813756
random,0.508053388888889,0.9062241011235954,0.9021293333333332,0.8878077777777778,0.882653371472841,0.8760531666666667,0.9591834090909092,0.6442181666666666,0.7125866397004316
