,rotten_tomatoes,tweet_eval/irony,tweet_eval/sentiment,tweet_eval/offensive,glue/cola,glue/sst2,tweet_eval/hate,tweet_eval/emotion,average
xgb_node2vec_all_normalize,0.948519485194852,1.0,0.8644396030016946,0.5337837837837839,0.390942217595004,0.860487038491753,0.7404536319265004,0.9708966015907446,0.7886902951980416
xgb_homo_SAGEConv_all_normalize,1.0,1.0,0.6882110869038991,0.754623044096728,0.390942217595004,0.6047132757266308,0.7404536319265004,0.9708966015907446,0.7687299822299384
xgb_homoGATConv_all_normalize,0.948519485194852,1.0,0.4984265311062716,0.9018492176386919,0.6616345653305582,0.6977219167321296,0.3727629438223759,0.9708966015907446,0.756476407676953
xgb_homoGATConv_normalize,0.5881558815588154,1.0,0.3493100944081342,0.9018492176386919,0.780062467464863,0.6744697564807531,0.7404536319265004,0.9708966015907446,0.7506497063835628
xgb_node2vec+_all_normalize,0.948519485194852,0.953422521339461,1.0,0.4601706970128001,0.390942217595004,0.4419481539670074,0.8269690879510002,0.9708966015907446,0.7491085955813588
xgb_logme_data_distance_normalize,0.9356493564935661,1.0,-0.016702977487288807,0.5583214793741081,0.6098666321377709,0.8128800873226282,1.0,0.9708966015907446,0.7338638974289411
xgb_data_distance_normalize,0.9356493564935661,1.0,0.5933188090050838,0.9018492176386919,0.390942217595004,0.5582089552238803,0.3727629438223759,0.9708966015907446,0.7154535126711683
lr_node2vec_normalize,0.49806498064980664,0.45038575180564583,1.0,0.5337837837837839,0.5939614783966687,0.953495679497254,0.5025361278591257,1.0,0.6915284752490356
lr_node2vec_all_normalize,0.49806498064980664,0.45038575180564583,1.0,0.5337837837837839,0.5939614783966687,0.953495679497254,0.5025361278591257,1.0,0.6915284752490356
xgb_normalize,0.9356493564935661,0.8602675640183841,0.4984265311062716,0.9018492176386919,0.390942217595004,0.5582089552238803,0.5025361278591257,0.8544830079537231,0.6877953722360809
xgb_node2vec_normalize,0.4465844658446586,0.953422521339461,1.0,0.5337837837837839,0.390942217595004,0.9302435192458776,0.7404536319265004,0.5052422270426609,0.6875840458472433
xgb_node2vec+_normalize,0.948519485194852,0.8602675640183841,0.4984265311062716,0.5337837837837839,0.390942217595004,0.4419481539670074,0.8269690879510002,0.9708966015907446,0.683969178150881
LogME,0.9486688373874737,1.0,0.6656139699052583,0.6174089068825865,0.5870919881305636,0.397365349341335,0.8088279602289841,0.3951452447274176,0.6775152820754523
xgb_homoGCNConv_all_normalize,0.49806498064980664,1.0,0.3493100944081342,0.607396870554764,0.6616345653305582,0.5582089552238803,1.0,0.679862617498192,0.6693097604581669
xgb_homoGCNConv_normalize,0.49806498064980664,1.0,0.3493100944081342,0.4601706970128001,0.6616345653305582,0.6047132757266308,1.0,0.679862617498192,0.6567195288282652
lr_node2vec+_normalize,0.7168571685716864,0.8602675640183841,0.7017671266037282,0.5583214793741081,0.6616345653305582,0.3256873527101322,0.5674227198775006,0.679862617498192,0.6339775742480362
