,stanfordcars,svhn,caltech101,pets,cifar100,flowers,smallnorb_label_elevation,dtd,average
xgb_homo_SAGEConv_all_normalize_without_transfer,0.82447,0.9479,0.97461,0.96493,0.92213,1.0,0.99273,0.77128,0.8859712903646192
xgb_node2vec_all_normalize_without_transfer,0.82447,0.94981,0.96131,0.95362,0.92213,1.0,0.99396,0.78369,0.885943037901077
xgb_homoGATConv_all_normalize_without_transfer,0.82447,0.94981,0.96131,0.95362,0.9234,0.99673,0.99273,0.76241,0.8820592905275695
xgb_node2vec+_all_normalize_without_transfer,0.80278,0.95145,0.97219,0.96493,0.9266,1.0,0.99396,0.76241,0.876890512088189
Reg-H-Score,0.80278,0.94667,0.97219,0.95362,0.91153,0.9902,0.99204,0.7305,0.8681142372898494
rf_node2vec+_all_normalize_without_transfer,0.759,0.93958,0.96131,0.96493,0.92247,1.0,0.99273,0.77128,0.8604449947115551
rf_homoGATConv_all_normalize_without_transfer,0.71768,0.9479,0.97823,0.96493,0.92213,1.0,0.99383,0.78369,0.8492931215321008
lr_homoGATConv_all_normalize_without_transfer,0.72218,0.9479,0.97219,0.95249,0.93273,1.0,0.9941,0.77128,0.8479171574177504
lr_node2vec_all_normalize_without_transfer,0.72218,0.94981,0.97461,0.96493,0.9068,0.99346,0.99383,0.77128,0.846884806305651
lr_homo_SAGEConv_all_normalize_without_transfer,0.72177,0.94467,0.97219,0.95136,0.92213,0.99673,0.9941,0.77128,0.8464120068420922
rf_node2vec_all_normalize_without_transfer,0.71768,0.94403,0.96131,0.93552,0.93273,1.0,0.99396,0.77128,0.8435887390484004
lr_node2vec+_all_normalize_without_transfer,0.66203,0.95104,0.96493,0.95249,0.92247,0.99346,0.9941,0.76241,0.8224794120124048
rf_homo_SAGEConv_all_normalize_without_transfer,0.71768,0.94394,0.948,0.96493,0.87187,0.87582,0.99479,0.73582,0.8179525201645489
LogME,0.509,0.94667,0.97219,0.95362,0.91153,0.9902,0.90055,0.69149,0.7506221524665893
